"Month / Year","Segment / Function","Update Date","AI Use Cases","Overall Status","Executive Summary","Key Risks and Issues","Progress on Use Case this period","Details on Change Management","Path Forward","Lead","Status on Change Management","Modified","Modified By","Questions / Assistance Needed from the Working Group"
"Jan 2025","Product Engineering","1/31/2025","[]","Green","GitHub Copilot adoption is strong, with 3,300 users (including 2,200 employees) achieving a consistent 30% code suggestion acceptance rate, aligning with industry benchmarks.  A tool adoption framework is established, and we're rolling out Amazon Q Dev for cloud-based AI assistance. The project remains on track, prioritizing cost-effectiveness and user experience.
","Surveys:   The Pull Request (PR) driven survey responses are steady at 20%.  Have already communicated to Engineering Pilot participants to help drive higher participation.  Need to further socialize with Champions and PE LT for tops down push to help drive greater response rates and implement possible mandatory training.   
Data Accuracy:   GitHub's seat and usage telemetry APIs are stable over last four months.    
Tool Evaluation: Continued evaluation of the impact and value of various tools, including GitHub Copilot, to ensure they are continuing to add value to the organization and business. ","* GH CoPilot department level usage metrics are now available to view team-level adoption data.
* This data is collected from GitHub starting from December 2024 and will capture trends throughout 2025
* Please note that GitHub does not share user-level usage data due to privacy concerns. However, through their new API, we are able to access rolling 28-day usage data for each TR GitHub team.
*After a successful pilot program in 2024, engineers can now request access to Amazon Q assistant using a self-service process. Users can use either one or another tool and switch monthly between them
","None
","A monthly meeting with Champions will be held to gather feedback, monitor adoption trends, and communicate tool improvements and new features. Continued analysis of PR events data to understand and validate impact of AI tools adoption on developer productivity.  Add adoption metrics for Amazon Q.","Karadi, Hema (TR Technology)","Progressed and being actively managed","6/29/2025 5:02 AM","Karadi, Hema (TR Technology)","None"
"Jan 2025","GTM - Legal","2/3/2025","[]","Amber","The activities in November have primarily focused on the implementation and official launch of the Gong trial. ​

The pilot participants have access to the Gong platform and have been directed to the Gong Academy, a self-led training tool that helps end users utilize Gong effectively. Live training for Legal took place on November 6th. Gong SteerCo has finalized feedback metrics and method.  As part of Internal Change Management, Legal will utilize the Gong feedback loop as a prototype to gather feedback, benefits, and assessments for all future tech evaluations, which can then be applied to other tech evaluations and segments. Thus far, preliminary feedback reflects that Gong looks good for front leader productivity (reducing time spent on forecasting (~2 hrs per week) and that it provides greater forecasting accuracy. Also time savings around tasks such as meeting prep, meeting summarization is reducing tasks down to about 5 minutes as opposed to 15 to 20. We expect to see more and better data as the trial continues, and more feedback comes in.​

​

Copilot 365: 150 licenses were deployed on October 25th and now being utilized across the segment.​

​

Gainsight: Gainsight has been provisionally approved, and solution is due to be deployed  April 2025​","Gong : Trial ran October-December, with Gong trial licenses still in play. 

Legal has now acquired Gong licenses. Devon Whiteford is working with Eric Kim and other key stakeholders to establish a Change Management plan to ensure swift and effective adoption of Gong once launched. 

​

Gainsight incorporated in Customer Success business case.  ​

​","Gong: Establishing a feedback model has ensured consistent feedback from all Legal segments - this feedback system will be implemented in all future trials as part of Legal's “TR Way” approach to new AI technology.​

​
Feedback from both Leadership and End Users has been positive. End Users have reported time-saving benefits against tasks including meeting prep, email composure and summaries. They estimate they save between 15-30 minutes per task, with significant savings over the course of a week. Leadership also report similar savings, but have also noted that Gong enables them to save approx 2-4 hours per week on forecasting. The also see the benefits of the coaching tools and expect them to support and enhance performance within their teams. Client AI has also been noted as valuable, although it doesn't always deliver the desired insight, however this is likely to be the result of ""messy"" data in Salesforce.","Lindsey Hefty and Heather Kirsebom have been collaborating with CE on creating a ""TR Way"" to evaluate technology, and we recognize the need for improvements in piloting and implementing new sales tech, such as Gong. The intention is to leverage the Gong pilot as a prototype for gathering feedback across segments or products and focus on developing a process for Business Transformation leads to have a proper feedback loop. The team also intends to work with CE to better deploy pilots, tech rollouts, and proper champions to generate faster adoption rates of tech within their segments.  ​

Planned initiatives include:​

Technology Agnostic Feedback Assessment:  We will utilize the Gong feedback loop as a prototype to gather feedback, benefits, and assessments for all future tech evaluations, which can then be applied to other tech evaluations and segments.​

Collaboration with Business Transformation Leads: Identify a Steer Co to work with leads in each segment who can collaborate with the Business Transformation leads to gather channel feedback on Sales Tech, Identify Champions, and pinpoint gaps in processes and enablement.​

Quarterly Stakeholder Meetings with Segment/CE: Once Steer Co has been established with the Business Transformation lead, we will establish a quarterly stakeholder meeting to provide feedback to CE on sales tech and reevaluate the champions program and responsibilities ​

​

AI initiatives that have been rolled out by other enterprises that are currently under consideration to be utilized for Legal are:​

Eye on AI – Teams channel dedicated to AI updates, tips etc. Keeping Legal informed and encouraging engagement​

3 Ways to Use AI Today – Focus on 3 key AI tools supporting sales – briefly highlight capabilities and benefits – encourage engagement supporting 2025 OKRs​

Quarterly AI Email Comms - Status update re Copilot, Open Arena workshops, Call AI, Gong pilot and other relevant tech. Highlight benefits, AI success stories etc ","Copilot 365 Licenses: Licenses have been deployed to end users and comms have been sent.​

Gainsight: Business Case relating to Gainsight spend has been approved solution due to be deployed ~April 2025.​

Gong: Licenses acquired - to be assigned and deployed","Hutchins, Tasha (Legal);Emerson, Lindsay (Legal)",,"2/10/2025 10:56 AM","Morse, Jonathan R. (TR People)",
"Jan 2025","Global Services","1/31/2025","RFX Content/Analysis Optimization,Contract Analysis,Services Gateway,Spend Analysis","Green","CoCounsel 2.0 and CoCounsel Drafting Implementation: An implementation strategy has been developed, with CoCounsel V2 scheduled for deployment by end of Q1-2025 and CoCounsel Drafting by end of Q2-2025. The implementation plan will undergo final review and validation with Spencer Caldwell on February 4. Initial implementation activities for CoCounsel V2, beginning with training programs, are set to commence in the third week of February. The strategy for CC Drafting includes potential integrations with Contract Express for Templates automation and Practical Law for Legal playbooks automation.

RFP Template Generation MVP: The Minimum Viable Product (MVP) for collaborative RFP Template generation has been successfully configured in Kronos, our Sourcing Projects Management solution. User Acceptance Testing (UAT) is scheduled for the third week of February, engaging Sourcing SMEs from the RFP Optimization program to validate functionality and optimize the solution. The formal go-live has been set for the second week of March 2025, followed by plans to expand RFP Template automation throughout Q2.

Services Gateway Chatbot Development: Following evaluation of the 'TR Ask Julius' chatbot, development will proceed using Copilot Studio to leverage its advanced capabilities and Microsoft's continuous feature enhancements. This strategic decision aims to create a more sophisticated and flexible chatbot solution that aligns with our long-term objectives. The initial MVP, focusing on the Travel & Expenses process, is scheduled for implementation by the second week of March, establishing a foundation for future expansion and enhancement of service delivery.","-Integration with Existing Systems: Integrating the AI solutions with existing systems, databases, and workflows may pose challenges.
-Technical Challenges: Algorithm complexity could delay or impact the effectiveness of the solution. We will mitigate this risk by adoption CoCounsel.
-User Adoption and Change Management: Introducing a new AI-driven process requires user training and change management efforts to ensure adoption. Resistance to change or difficulties in understanding and using the new solution could hinder project success.
-Legal Recommendation: Contract Analysis data protection is mandatory and LLMs can’t ensure this. Co-Counsel is an internal TR tool that could offer the same capabilities ensuring data protection and confidentiality.","CoCounsel for Contract Drafting:
•	Implementation strategy has been developed, with CoCounsel V2 scheduled for deployment by end of Q1-2025 and CoCounsel Drafting by end of Q2-2025.

Efficient RFx Analysis
•	Minimum viable product (MVP) for collaborative RFP Template generation was deployed in Kronos (our Sourcing Projects Management solution). The expectation is to run a formal UAT including the Sourcing SMEs involved in the RFP Optimization program for capability validation and fine-tuning. Official go-live for this capability is schedule by the third week of November. Additional RFP Templates will be automated in Q2.

Copilot Studio:
•	Recently gained access to Copilot Studio, a powerful generative AI tool within Microsoft 365 applications.
•	Initial use case involves strategic queries to large data sets, enhancing information retrieval and decision-making processes.
•	Exploring integration with SharePoint and potential use for virtual agents.

Ask Julius:
•	After careful consideration and evaluation of the 'TR Ask Julius' chatbot, we have decided not to pursue it as a potential solution for developing the Services Gateway use case. Instead, we will be focusing our efforts on developing the chatbot experience using Copilot Studio. This decision allows us to leverage the robust capabilities of Copilot Studio and capitalize on Microsoft's ongoing investment in new features and functionalities. By utilizing Copilot Studio, we aim to create a more advanced and adaptable chatbot solution that aligns better with our long-term goals and the evolving needs of our services.

Efficiency Metrics:
•	Identifying and analyzing efficiency metrics to align with 2027 financial planning.
•	Focus on measuring the impact of AI tools and their contribution to productivity and cost savings.","CoCounsel (Next Steps):
•	CoCounsel Core 2.0 Rollout: Phased upgrades through the end of 2024 as they become available.
•	Explore and deploy CoCounsel Drafting . We are in the process of aligning a dedicated training session for our team, which will dive deeper into the platform's features and integration with MS Word. We'll share more details as soon as they are available.

Efficient RFx Analysis
•	Run a formal User Acceptance Testing (UAT) for the Minimum Viable Product (MVP) of collaborative RFP Template generation deployed in Kronos, involving Sourcing SMEs from the RFP Optimization program to validate capabilities and fine-tune the solution.","
Further Integration and Training:
•	Continue and expand training sessions for AI tools such as CoCounsel Drafting and CoCounsel V2.0 and Copilot Studio to ensure full adoption and effective usage.
•	Develop standardized training materials and prompt libraries to support consistent use and efficiency.
Business Case Development:
•	Finalize and approve the business case for broader access to AI tools.
•	Develop additional business cases to secure incremental investments for AI initiatives.
Metrics and KPIs Refinement:
•	Implement newly defined impact-focused KPIs to better track productivity and efficiency gains.
•	Regularly review and adjust metrics to ensure alignment with business outcomes and strategic goals.
Communication and Showcasing:
•	Prepare for upcoming staff and all-hands meetings to showcase AI progress and demonstrate tangible benefits.
•	Highlight success stories and measurable impacts to reinforce the value of AI adoption.
Cultural Change and Leadership Engagement:
•	Continue addressing cultural resistance by involving leaders in planning and decision-making processes.
•	Foster a positive reinforcement environment to encourage leadership support for AI initiatives.
Ongoing Support and Evaluation:
•	Provide continuous support to teams using AI tools and address any challenges promptly.
Regularly evaluate the progress of AI initiatives and adjust strategies as needed to ensure successful adoption and value capture.","Solis, Gilberto (Operations & Technology)","Just getting started","2/3/2025 9:41 AM","Bullio, Mariano (Operations & Technology)",
"Jan 2025","General Counsel","2/3/2025","Use of Chatbot to answer first line questions (General Use Case),NDA Review (Customer Zero Labs)","Green","January 2025 saw work progress on 2 use cases, whilst also planning the overall strategy for 2025
Most practice groups in the GCO need a chatbot to handle common and repeat questions, which will interface with the business. 2 options are being pursued 1. Self Serve from the Future GCO (TR Product in development) and 2. Leveraging the CoCounsel for Clients portal on HighQ (TR product in development). We have also moved into our POC#2 for reviewing and redlining NDAs using the CPC skill in CoCounsel Core","Whether Product delivers functionality to meet our needs for NDA review and accuracy in responses by the Chatbot","see Executive summary","Drafting plan for 2025",,"Graydon, Alexandra (TR General Counsel)","Just getting started","2/5/2025 12:27 PM","Morse, Jonathan R. (TR People)",
"Jan 2025","GTM - TAP","2/3/2025","[]","Green","TAP’S Internal AI Program has entered 2025 with strong momentum, with the overall status marked as green. v1 of the AI-Powered Pre-Call Planning released in January, utilizing Copilot in Edge. This solution is for whitespace discovery calls. v2 is in development in partnership with Commercial Excellence and will introduce existing customer data to the solution. Planned pilot in Q1.

Copilot licenses will be extended to sales managers by mid-February, bringing total deployment up to ~120 users. 

Gong continues to get positive praise from the sales team, with call recording completion of Teams meetings sitting at 53%. This completion rate has remained fairly consistent throughout 2024. All US-based SEs, CEs, and SDRs now have Gong access.

AI Sales Assistant: Commercial Policy has entered testing. Commercial Policy team is integrating TAP-specific policies into the knowledge base. Have experienced technical complications with Copilot Studio deployment and Commercial Policy complexities that are delaying release.","While Gong adoption is steady, need to drive greater integration into the day-to-day workflow to increase value creation from this tool. Sales team roadshow to begin in approximately two weeks to increase utilization.

AI Sales assistant is experiencing technical and policy complexities, delaying release. Working with ETS Copilot team to troubleshoot and resolve issues.","Please see individual use cases for detailed progress. High-level progress covered in Executive Summary.","Q1'25 focuses on driving utilization and workflow integration of deployed solutions - Gong, Copilot, Pre-call Planning. Emphasis on specific AI habits, small team conversations, weekly broadbase communications, and highlighting individual and team successes. Reinvigorating our AI Explorers champions network to emphasize sales manager and leadership participation.","Execute change management plan to drive greater utilization and workflow integration of deployed solutions.","Yopp, Justin (Tax&Accounting Prof)","Progressed and being actively managed","2/3/2025 5:19 PM","Yopp, Justin (Tax&Accounting Prof)",
"Jan 2025","GTM - Corporates","2/5/2025","Renewal Engagement AI Assistant,AI-Driven Document and Meeting Summarization ,Streamlined Customer Insights,Revenue Intelligence Optimization ,Enhancing Productivity with Automated Meeting and Document Insights,Predictive Sales Forecasting and Pipeline Management","Amber","As we move into 2025, our corporate AI strategy remains focused on leveraging internal and third-party tools to drive productivity gains, operational efficiencies, and enhanced customer satisfaction, ultimately improving Net Revenue Retention. Our key objectives are to maximize the potential of our existing tools, particularly Salesforce and Gainsight, and identify areas where additional solutions can further support our goals.

Current Progress and Initiatives:
We are optimizing the use of tools like MS Copilot, with expanded access across the organization, to enhance productivity and efficiency.
Our Professional Services team is actively working on two projects aimed at driving productivity gains, with an additional nine projects in the scoping phase for future development.

Pilot Program Update:
A pilot of Gong was conducted in Q4-2024, with 20 out of 40 participants actively engaging. Although feedback was positive, we have decided not to proceed with a full rollout due to funding and resource constraints.

Future Direction:
Our strategy for 2025 is to continue to fully utilize our current tools and assess potential gaps that may be addressed through additional solutions.
We will prioritize initiatives that drive tangible productivity gains, operational efficiencies, and customer satisfaction improvements, ultimately supporting our Net Revenue Retention goals.

By building on our existing foundation and strategically investing in AI-powered tools and initiatives, we are well-positioned to drive business growth, improve customer satisfaction, and maintain our competitive edge in the market.","The successful execution of our Corporate Internal Gen AI strategy is contingent upon addressing several key risks and issues. The following areas require attention to ensure the effective implementation and adoption of our AI-powered tools:

Resourcing Constraints: The strategy's success is dependent on securing additional resourcing to drive the development and deployment of AI-powered solutions. Insufficient resourcing may hinder our ability to fully leverage the potential of our existing tools, such as Gainsight, Salesforce, and Conversica, and may limit our capacity to explore new solutions.

Centralized Team Support: It was already called out and acknowledged in a February 4 meeting that more support is needed from centralized teams and product owners. To ensure end-users are aware of and proficient in using the Gen AI functionality, we require more active engagement and enablement from these teams. This includes providing training, documentation, and change management support to facilitate seamless adoption and optimal utilization of our AI-powered tools.

End-User Adoption and Enablement: The effective use of Gainsight, Salesforce, and Conversica, in particular, relies on end-users being aware of the Gen AI functionality and understanding how to leverage it to drive productivity gains and customer satisfaction improvements. Without sufficient support and enablement, we risk underutilization of these critical tools, which may negatively impact our ability to achieve our Net Revenue Retention goals.

To mitigate these risks, it is essential that we prioritize securing additional resourcing, foster stronger collaboration with centralized teams and product owners, and develop a comprehensive enablement strategy to support end-user adoption and proficiency with our AI-powered tools. By addressing these key risks and issues, we can ensure the successful execution of our Corporate Internal Gen AI strategy and realize the full potential of our AI-powered tools to drive business growth and customer satisfaction.","Professional Services Team Initiatives: The Professional Services team has made significant headway on two high-priority use cases, which are currently in development. Additionally, nine further use cases are being refined and will be presented to the Analytics team for support in scoping and implementing. This collaboration will enable us to leverage data-driven insights to inform our AI-powered solutions and drive business outcomes.

MS Copilot Expansion: We have successfully secured an additional 105 MS Copilot licenses, effective January 1, 2025. This expansion will enable more employees to leverage the productivity-enhancing capabilities of MS Copilot, driving efficiency gains and supporting our goal of improving Net Revenue Retention through enhanced customer satisfaction and reduced churn.","Training and Enablement:
Introduction to Open Arena training was provided on 6/12/2024
Sales Enablement offered virtual, instructor-led workshops on Open Arena and Copilot on Bing, which started in August 2024 and have attracted 327 attendees as of September 24.
Copilot for 365 training was held 9/12/2024

Communication and Awareness:
The Corporates Eye on AI Launch included the creation of a Teams channel on 8/15/2024 and a champions network on 8/20/2024.
A newsletter was initially planned but was put on pause due to competing Future of Corporates (FoC) priorities.

Feedback and Pulse Checks:
The September OHI survey included a question on AI adoption, with 76% of participants responding that they agree the organization helps them understand and use AI in their daily work.

End-of-Year Update:
Communications were paused in light of Future of Corporates priorities. ","As we look to 2025, our path forward is focused on building on the foundation established in 2024, with a emphasis on optimizing the adoption of our current tools, expanding the use of AI-powered solutions, and driving business outcomes through targeted use cases. Key priorities include:

Optimizing Current Tools: We will focus on maximizing the potential of our existing tools, particularly Gainsight and Salesforce, to drive productivity gains, operational efficiencies, and customer satisfaction improvements.

Restarting and Expanding Conversica: We will restart and expand our use of Conversica, leveraging its capabilities to enhance our sales and customer engagement efforts.

Accelerating Professional Services Use Cases: We will prioritize the development of Professional Services use cases, focusing on internal process improvement initiatives that drive tangible business outcomes. The recent Professional Services focus group meeting on November 20 marked an important step in this effort, and we will continue to build on this momentum.

Guidance from Corporate Leadership: We will seek guidance from Corporate leadership on the support and resources that will be provided to drive our Corporate Internal Gen AI strategy in 2025. This will ensure that our efforts are aligned with organizational priorities and that we have the necessary backing to achieve our objectives.","Waschitz, Stephanie (Corporates);Lewis, Katie (Corporates)","Progressed and being actively managed","2/5/2025 7:47 AM","Waschitz, Stephanie (Corporates)",
"Jan 2025","Reuters - Editorial","2/5/2025","[]","Green","We are moving some of our 2024 projects into scale-up and adding some new ideas into the Newsroom AI workstreams. We have also named a new small team to look at AI efficiencies and use cases outside the newsroom. As we consider the best use cases, we will change the focus of Reuters Internal AI initiatives as we believe this is also the best way to get more learnings from similar functions across the rest of TR.","AI development is moving incredibly quickly - faster than we can change, adapt and adopt AI in the newsroom given some of our processes. There is a risk that we remain too focused on solving past problems rather than give due weight to the opportunities that lie ahead. We are considering carving out a percentage of time for key team members to do more AI research e.g. on small language models built in similar ways to Deep Seek. Another risk is that solutions we created in the past, particularly Avista, might no longer be fit for purpose as models have moved on so quickly. We need to be nimble (think fast, act fast!) and persuade teams it is fine to pivot but without making them dizzy. ","Fact Genie continues to roll out across more markets (Malaysia, New Zealand in testing). 133 users across January. More alerts are being edited than before so we are checking for model drift. Also trying to improve the relevance of alerts being suggested to improve signal/noise ratio but without losing signal - GREEN
Some of the LEON tools have switched over to Claude from GPT 4o so we have added a new disclaimer in the UI to comply with the terms of agreement TR has with Anthropic. New tools to be added in February and will report on them/adoption next month. [need adoption numbers from BI] - GREEN
Packaging tool launch delayed until end-Feb and some key paperwork is still pending - AMBER
AVISTA in VESPA is now in GA but only released to a small number of testers as there are some serious issues with performance in terms of formatting and latency. Moving this back to RED
Translation - we are setting up some testing datasets to evaluate more potential solutions. Currently working on integrating the French language AI editor. Also, not efficiency but FYI, we are going to start translating and voicing packaged video using AI to serve clients in Latin America better in March. This is net new content for our clients. ","We are polling all Reuters staff on the AI tools, training and communications we provided in 2024 so that we can better shape things for 2025. Our W/AI Forward email series has a decent open rate but we need more people to engage. There will be regular AI slots in both the Editorial and Reuters town halls to keep pushing out messaging and getting people used to using AI. We are also living up to the promise that people whose jobs might be impacted by AI will likely see their roles expand (Spanish and Portuguese video launch and new roles on Project LUX). We had excellent engagement on AI at the ASM and are working with Ethelda Makoid to get some more sales training across from TR into Reuters and expect this will help people on their own journey in gen AI. ","Fact Genie - expanding out the scope beyond corporate press releases in 2025 to look at all sources that come into our breaking news hubs. This fits with a Product plan to fold our five alerting tools into one, AI-enhanced tool 
LEON - we are moving beyond summarisation and headlines to include our first editing tools, live transcription and French translation editing in the next months. More broadly we are running a POC to see how gen AI can help us draft stories. 
AVISTA - we may need a rethink of our video workflow tools given issues with latency in the current solution. We will link this work to the new customer-focused Agency AI stream as many of the issues we have in video production are similar for our clients. It's a good opportunity to stop and rethink.
Open Arena - still developing a lot of tools there which we may bring across to LEON. The back-end work to lift and shift is now done.","Barrett, Jane E. (Reuters)","Progressed and being actively managed","2/5/2025 2:48 PM","Barrett, Jane E. (Reuters)",
" Jan 2025","GTM - LATAM","2/6/2025","Analytics - Gen AI & ML","Green","Latam team has been included on the Gong Pilot until the end of the year. It was necessary additional alignments within the provider to understand what capabilities we should expect to test since not all the functionalities will be available since we are not going to connect Gong with the local CRMs we have in the Region. 
The decision was made to move forward with the pilot without having additional projects being required and test only the functionalities that are available in this model.
","During the first discussions of the pilot, we’ve identified that Gong cannot connect the same instance of the tool with difference SFDC instances. Since Latam users are on S2E SFDC instance or SGD as their CRMs, we needed to understand the capabilities / options to be considered under the pilot scope before moving forward. 
We explored the different options for your Gong implementation, including setting up a new instance, using the existing GSI Salesforce instance, or waiting for another time. 
We reviewed a comparison matrix of Gong features that would be available under each option, highlighting the limitations of the existing GSI instance in terms of account-based functionality. 
We will need to have a local person trained by the Gong team due to language limitation, with that our launch will be postponed, since there is the need of a new SOW for the train the trainer program.
====x====
We are now testing the tool with our Portuguese and Spanish speaking teams and we have found out that the tool has problems with transcription in both language, not recognizing accents and intonation.
Also, Genesys integration is not working properlly for testing.","Licenses were sent to all 10 users.
The Train the trainer session was held on December 3rd. 
We will now translate the training material and schedule local session in Portuguese and Spanish.
Gong integration with Genesys was confirmed. 
We have confirmed that we need to get consentient from the Customers, so the ‘opt in” option to record the call must be configured.


=====X======
January:
We had the training session with our users and strated the test with the tool in January.

We are now testing the tool with our Portuguese and Spanish speaking teams and we have found out that the tool has problems with transcription in both language, not recognizing accents and intonation.","We have worked with the internal awareeness, and have trained our team and all 10 users are testing the products.
","Next Steps:

Integrate with Genesys (fix issues)
Fix language issues to improve testing results
","de Camargo, Ana Paula (TR Commercial Excellence)","Progressed and being actively managed","2/7/2025 2:26 PM","Morse, Jonathan R. (TR People)",
"Jan 2025","Latam Editorial","2/11/2025","[]","Green","MS Copilot and Open Arena are being used for: summaries from different sources; document indexing; text creation; validation and updating of texts (including legislation); spelling check; PPT presentations; file location in SharePoint. New activities: tabbing, converting, and inserting markups/tags. Due to vacations of editorial members, the hours saved were lower.","Risk: number of hours we save depends on the type of content is published by government (i.e. legislation that changes another existing one usually brings bad results when its added value is done by AI).
Issue: to achieve results in a superior range it´s essential to automate editorial tasks (despite AI use)
","Copilot - Number of hours saved (monthly) since April are increasing accordingly (August hours are smaller because the type/amount of official publication vary): 
67:39:35	69:14:31	88:19:59	96:35:13	93:45:55	120:17:53	138:03:16	96:17:16	130:51
January 2025 Copilot:
 

Open Arena – we started controlling saved hours in September:
35:40:41	33:12:47	50:05:06	52:36
January 2025: Open Arena:
 


TOTAL AMOUNT OF HOURS SAVED USING AI in January =
103:11:00
","On track. Only one analyst mapped as resistant to the use of AI.","For 2025 expectations are to improve efficiency implementing automations in our workflow in addition to OKRs for all team members focused on deliver effective results (new projects and/or savings) through AI use.","Ono, Juliana Mayumi O. (LatAm)","Progressed and being actively managed","2/11/2025 1:56 PM","Morse, Jonathan R. (TR People)",
"Feb 2025","People / Comms","2/21/2025","[]","Green - As per plan or better","Progress against all priority AI workstreams the past month.  HR Services, Phase 1 testing of Amelia has been completed for all three use cases (HR policies, general inquiries, and onboarding), with UAT workflow development ongoing and workstream OKRs in progress.  AskTR project is revisiting conversations with Moveworks with potential engagement.  Talent Acquisition is advancing several key initiatives, including the LinkedIn Hiring Assistant charter with 20 recruiters participating and targeting end of Feb launch, Open Arena-powered Interview and Intake Notes tool development in testing (targeting March rollout for all recruiters), and exploration of HiredScore integration.  BrightHire pilot has been delayed pending confirmation we can integrate with Workday production.  Communications successfully drafting the 2027 AI vision and 3-year Strategic Roadmap. 
Other AI experimentation successes across the broader function include AI Coaching in AI Concept Hub (launched SME testing with approx 20 People Function colleagues) and created customer zero artifacts for HR CoCounsel experiencing significant efficiency gains (achieving 90% reduction in reviewing multi-language employment contracts). Workday enhancements:  Illuminate task assistance now enabled for 8 production tasks and ongoing participation in the M365 Copilot design partner group. The Early Adopter Talent Highlights program is on track for April implementation, promising improved manager experience through AI-powered talent data summarization on their workers.","Comms:  Resistance due to lack of time / unwilling to interrupt work to test alternative ways of doing things to delivery pressures.
HR Svcs:  Completing UAT testing and analysis / reporting prior to end of POV timeline (end of Feb)
TA:  Confirmation of Data Privacy / CIO support for BrightHire use with Workday production.  Reliance on capacity-constrained internal tech partners to deliver as expected:  AI concept hub development of interview/intake tool and Digital HR - BrightHire implementation/integration, LinkedIn Hiring Assistant configuration (if needed)","See Internal AI Use Case tab","Overall Function:  Standing up AI Explorer team again in 2025 with focus on Team Engagement, Function-wide event planning, and stronger connection with AI Champion team
Workstreams:  Good progress in articulating benefits and improve ways of working in Internal Comms.  Now opportunity to scale across entire global comms team and identify new opportunities to drive speed, efficiency and savings.  Comms identified challenges to overcome in change management plan as they look to scale.  Talent Acquisition is advancing change management through active comms channels and new bi-weekly office hours starting in February.  HR Svcs and other AI experimentation across the function is working through their change management plans.
","Comms is in use case ideation for 2025 as a priority, develop value prop for AI in comms, develop tool library including prompts and best practices, more robustly encourage use and/ experimentation across team.  HR Svcs is progressing with Manager Onboarding UAT testing while exploring Moveworks capabilities and AskTR POV with Amelia.  TA is on track for interview/intake note testing in February (broad rollout in March), LinkedIn Hiring Assistant pilot end of Feb/early March, and complete HiredScore exploration/evaluation.  Multiple AI experiments from a broad scale show active progress:  AI Coaching's Q1 soft launch, Talent Highlights' March UI testing, CoCounsel's Q2 HR expansion, and ongoing developments in people.ai, Workday Illuminate and WD M365 Copilot.","McClanahan, LeAnn (TR People)","Progressed and being actively managed","2/24/2025 2:59 PM","Morse, Jonathan R. (TR People)",
,,,"[]",,,,,,,,,"2/24/2025 3:24 PM","Morse, Jonathan R. (TR People)",
"Feb 2025","Product Engineering","2/27/2025","Coding & QA Assistance","Green - As per plan or better","In February, our active user engagement increased from 70% to 88%","The response rate for Pull Request Surveys from developers using the Coding Assistant is consistently around 16%","1. We completed an evaluation of GitHub Copilot Enterprise, which included testing its coding assistant model customization capabilities. Due to cost-benefit considerations, we are currently pausing adoption and will continue using the Business version. Further details are available in this blog. 

https://trten.sharepoint.com/sites/intr-github-copilot/SitePages/Copilot-Updates---February-2025.aspx#enterprise-status

2.  During this month's champions meeting, we emphasized the importance of feedback and clarified the differences between using GitHub Copilot and Amazon Q as coding assistant tools. We are also encouraging more teams to publish their successful use cases for knowledge sharing
","These tools have been used successfully for over a year.","The quarterly newsletter on AI-powered developer tools will be released in March.","Karadi, Hema (TR Technology)","Fully integrated","2/28/2025 2:31 AM","Karadi, Hema (TR Technology)",
