"Use Case Name","Segment / Function","Date Updated","RAG Status","Stage","AI Tools","Use Case Strategy","Total Headcount Field","Use Case Description","Outcomes/Deliverables","Planned Status Q1 2025","Planned Status Q2 2025","Planned Status Q3 2025","Planned Status Q4 2025","Created","Modified","Modified By"
"Editorial process improvement ","GTM - Global Print","9/1/2025","Green – as per plan or better","Experimentation","CoPilot 365","Build",,"Enhances proofreading and summarization for quality improvement","Book proposal​

 Thesaurus classification​

Tilting jurisprudence​

GCMS Script​

Proofreading for magazines/books​

Summarization DOF​","Experimentation","Pilot","Implementation","Adoption","1/22/2025 1:22 AM","9/1/2025 2:03 PM","Andrade, Caio H. (Print)"
"Backoffice task efficiency (editorial) ","GTM - Global Print","9/1/2025","Green – as per plan or better","Launch","CoPilot 365","Build",,"Automates routine tasks like email chains, meeting summaries, and data storage.","Book proposal​

Automate emails chains​

Power Automate tasks​

Email chain summary​

Automatic Data Storage in Excel​

Notes and Summary of Meetings ","Implementation","Adoption","Expand","Expand","1/22/2025 1:23 AM","9/26/2025 1:53 PM","Andrade, Caio H. (Print)"
"Email & Meeting Management (GTM) Content creation (GTM)","GTM - Global Print","9/1/2025","Green – as per plan or better","Launch","CoPilot 365","Build",,"Integrates Outlook, Teams, Word Online, and Salesforce to streamline communication and scheduling","Outlook integration​

Team Integration​

Word Online Integration​

Salesforce integration","Pilot","Implementation","Adoption","Expand","1/22/2025 1:24 AM","9/26/2025 1:53 PM","Andrade, Caio H. (Print)"
"Content creation (GTM","GTM - Global Print","9/1/2025","Green – as per plan or better","Launch","CoPilot 365","Buy",,"Supports faster and more consistent content generation using AI tools
","Create technical reviews for customers Create product summaries for customers Compile research summaries about products and customer markets ","Pilot","Implementation","Adption","Expand","1/22/2025 1:25 AM","9/26/2025 1:53 PM","Andrade, Caio H. (Print)"
"Research & Analysis (Ops & Manufacturing)","GTM - Global Print","9/1/2025","Green – as per plan or better","Implementation","CoPilot 365","Build",,"Supports supplier research, competitor analysis, and technical support","Support research on suppliers​

Research  - English to Irish translation and Irish pronunciation​

Research potential new development methods​

Email comparing two product offerings - JCT​

Starting point for competitor analysis​

Compare documents to find material differences, for instance commercial agreements​

List the elements of multiple document templates (training tools) to compare and aid in standardization efforts for a project","Pilot","Implementation","Adoption","Expand","1/22/2025 1:26 AM","9/1/2025 2:08 PM","Andrade, Caio H. (Print)"
"Email & Meeting Management (Ops & Manufacturing) ","GTM - Global Print","9/1/2025","Green – as per plan or better","Implementation","AI Platform","Build",,"Integrates Outlook, Teams, Word Online, and Salesforce to streamline communication and scheduling","Compiling product specific info documents for customer circualtion​

Structuring of emais in response to potentially difficult customer queries​

General customer query response​

Coaching/support on tone analysis and revisions for email drafts​

Draft a meeting agenda/template to organize an event​

Creating email templates for common queries​

Summarize meeting notes","Pilot","Implementation","Adoption","Expand","1/22/2025 1:27 AM","9/1/2025 2:09 PM","Andrade, Caio H. (Print)"
"Development & Technical Support (Ops & Manufacturing) ","GTM - Global Print","9/1/2025","Green – as per plan or better","Implementation","CoPilot 365","Build",,"Enhances troubleshooting and documentation through AI-assisted workflows.""","Support on programming syntax​

Support on ""how to"" questions on tools​

Assist in building code for excel Macros (VBA)​

Troubleshoot code/formulas​

Spreadsheet work such as counting instances or other simple table work","Implementation","Adoption","Expand","Expand","1/22/2025 1:28 AM","9/1/2025 2:10 PM","Andrade, Caio H. (Print)"
"Case Summarization Sponsor: NaomiHarris","AEM Editorial",,,"Implementation","Open Arena","Build",,,"Productivity gain in the Cases team. Frame as AI assisted summaries (similar to WL AI assisted research tag) and test whether we get a 50-60% good base summary that the Editors can build on. Test Open Arena and Co-Counsel head to head on the same cases to see which provides the better results.  Reduced case backlogs Remove need for regular overtime, Improve the WL proposition (currency) and enable us to keep up with the ever expanding volume of cases. ",,,,,"1/22/2025 1:29 AM","3/4/2025 8:07 AM","Morse, Jonathan R. (TR People)"
"Japan Growth - Case Expansion Sponsor; Tim Pollard","AEM Editorial",,,"Implementation","Open Arena","Build",,,"Summarization &Classification Japan caselaw. Currently performed by FTE’s. Cases expanding from 7k per year to circa 250k cases per year in 2025. Need AI to support increased volume & accuracy. Cost avoidance (TBC) ",,,,,"1/22/2025 1:30 AM","3/4/2025 8:07 AM","Morse, Jonathan R. (TR People)"
"Professional Services: Teams Premium: Sponsor: Samir Malik","AEM Editorial",,,"Implementation","Teams Premium","Buy",,,"Project Manager meeting note generation. Initial Pilot for 20 employees. Hypothetical estimated savings of x 30 minutes / week ",,,,,"1/22/2025 1:33 AM","3/4/2025 8:07 AM","Morse, Jonathan R. (TR People)"
"BOB GROWTH Risk / Opportunity Dashboard   Sponsor: Michael Horton & NaomiHarris ","AEM Editorial",,,"Implementation","Open Arena","Build",,,"Dashboard to provide CRM with broad range of indicators of retention risk (enhanced C360) - Increased Retention %   ",,,,,"1/22/2025 1:33 AM","3/4/2025 8:07 AM","Morse, Jonathan R. (TR People)"
"Copilot for MS 365​","GTM - Global Print","9/26/2025","Green – as per plan or better","Launch","CoPilot 365","Buy",,"Daily productivity tool integrated into Microsoft applications to foster: ​

Content creation (writing assistance in word, PPT, Outlook)  by generating draft documents, emails, presentations ​

Meeting productivity by summarizing Teams meetings and generating  action items or suggesting follow-up tasks and scheduling ​

Email management (drafting responses and composing emails in Outlook, summarizing long email threads, prioritizing incoming messages) ​

Information retrieval (quickly finding relevant docs across MS 365 apps)","• Maximize daily productivity across all Corporates FTEs ​

• Early testing shows ~2 hours saved per week ​

• ETS and Microsoft support TBC ​

","Share use case and best practices in Corporates Eye on AI Champions Network ","Share use case and best practices in Corporates Eye on AI Champions Network ","Expand","Expand","1/22/2025 1:35 AM","9/26/2025 10:51 AM","Andrade, Caio H. (Print)"
"Renewal Engagement AI Assistant","GTM - Corporates","12/3/2022","Green – as per plan or better","Launch","Conversica","Buy",,"Conversica’s Renewal Assistant is designed to help businesses manage and optimize their customer renewal processes by proactively managing  customer renewals and reduce churn. The Renewal Assistant initiates renewal conversations well in advance of the renewal date, ensuring timely follow-ups and reducing the risk of churn.
","The outcomes and deliverables of Conversica’s Renewal Assistant include:

1. Increased Renewal Rates: By proactively engaging customers well before their renewal dates, the assistant helps ensure timely renewals and reduces the risk of churn.
2. Enhanced Customer Retention: Personalized and consistent communication helps maintain strong customer relationships, leading to higher retention rates.
3. Revenue Growth: The assistant identifies and qualifies expansion opportunities within existing accounts, driving additional revenue.
4. Operational Efficiency: Automating routine renewal tasks frees up account managers to focus on strategic growth and customer success.
5. Improved Customer Experience: Customers receive timely, relevant, and personalized information about new products and enhancements, improving their overall experience.","2/28/2025: Preliminary REL with 2025 account teams is now available and information loaded to contact customers Q2-2025 - Q1-2026.

","CE to explore expansion to other lines of business and across TR.","CE to explore expansion to other lines of business and across TR.","CE to explore expansion to other lines of business and across TR.","1/22/2025 1:36 AM","2/28/2025 12:20 PM","Waschitz, Stephanie (Corporates)"
"Enhancing Productivity with Automated Meeting and Document Insights","GTM - Corporates","9/11/2025","Green – as per plan or better","Launch","Open Arena","Build","1,600","The Open Arena tool ingests and analyzes meeting transcripts and documents, using AI-powered summarization and insight generation to extract key points, action items, and decisions, and identify patterns and trends. The tool then distributes the summarized insights and recommendations to relevant stakeholders, enabling easy review, collaboration, and follow-up on action items, and facilitating informed decision-making and implementation.","- Time savings: Automated summarization and insight generation reduce the time spent on manual note-taking and document review.
- Improved collaboration: Easy access to summarized insights and recommendations facilitates teamwork and follow-up actions.
- Enhanced decision-making: Actionable insights and recommendations inform strategic decisions and project plans.
- Increased productivity: Employees can focus on high-value tasks, while the Open Arena tool handles the heavy lifting of information summarization and analysis.","Reinforce Open Arena application and how it can be used.
","Continue to execute on flow of training, testing, and identifying project build outs","Continue to execute on flow of training, testing, and identifying project build outs. Incorporating all the latest enhancements seen in Open Areana as of 9/11 (models connected to internet, deep research models, additional APIs)","Continue to execute on flow of training, testing, and identifying project build outs","1/22/2025 2:11 AM","9/11/2025 7:54 AM","Wang, Billy (Corporates)"
"Revenue Intelligence Optimization ","GTM - Corporates","9/11/2025","Green – as per plan or better","Launch","Gong","Buy","630","The AI-powered platform aims to enhance sales strategies, boost customer engagement, and drive informed decision-making by providing actionable insights into sales interactions. Through features such as conversation analysis, deal intelligence, performance tracking, and market insights, the platform offers a comprehensive understanding of customer interactions, deal progress, and market trends, enabling sales teams to optimize their efforts and improve overall performance.","Increased Sales Productivity: By identifying successful sales behaviors and areas for improvement, Gong helps sales teams close more deals
Improved Forecast Accuracy: With reliable data on deal progress and customer sentiment, sales forecasts become more accurate
Enhanced Customer Relationships: Understanding customer needs and preferences leads to more personalized and effective engagement
Data-Driven Decisions: Sales teams can make informed decisions based on comprehensive data analysis","Corporates is moving forward with 633 Gong licenses. Erin Brown provided an update on 2/24. We are currently working with sourcing to purchase the licenses and are connecting with Sara Donavan in Corproates Transformation on 2/28 to talk rollout plan.","Implementation and launch on June 3. ","Corporates overall usage is still below benchmark. L2 leaders have recommitted to re-emphasize the importance of Gong usage and make it mandatory for all meetings as of 9/10. We're already beginning to see more questions come in about how to use Gong. We've also deployed collaborator licenses to the rest of Corporates","Training and Adoption","1/22/2025 2:12 AM","9/11/2025 7:51 AM","Wang, Billy (Corporates)"
"Streamlined Customer Insights","GTM - Corporates","9/11/2025","Green – as per plan or better","Launch","Gainsight","Buy","180","Utilizing Gainsight for customer success. Capture all the latest status with deployment and gain additional insights and risk signals","Fully implement Gainsight for all the CSM employees and turn on AI features","Rolling out Gainsight for CSM","Continue to gain adoption","Added Gainsight Copilot, the native chatbot based on content within Gainsight. ","Further add additional AI enhancements","1/22/2025 2:13 AM","9/11/2025 9:44 AM","Wang, Billy (Corporates)"
"Predictive Sales Forecasting and Pipeline Management","GTM - Corporates","9/11/2025","Green – as per plan or better","Launch","Salesforce Revenue Intelligence","Buy",,"Utilizing Revenue Intelligence to help with pipeline inspection and get more accurate with predictive forecast. ","Dashboard in Salesforce showing the user their pipeline info and status of each deal along with AI assisted opportunity scoring, risk call out, and next steps.","Rolling out Collaborative Forecasting in Corporates with the goal of replacing Xactly for forecasting by end of 2025","Base revenue intelligence dashboard is launched to managers","Additional views for revenue intelligence launched (path to plan) with sales president view forthcoming in late September.","Further add additional AI enhancements well into 1H 2026. ","1/22/2025 2:15 AM","9/11/2025 9:41 AM","Wang, Billy (Corporates)"
"Translation to journalistic standards","Reuters - Editorial","9/5/2025","Green – as per plan or better","Implementation","Open Arena,LEON","Build","200","The current AI translation tools do not give high enough quality to meet Reuters standards for journalistic rigour and accuracy required under the Trust Principles. This requires us still to have many humans translating stories and limits our capacity both in terms of volume and in terms of freeing more resources up for reporting. Where we have turned on automated translations for LSEG as requested, they have complained about inaccuracy and low quality in certain key languages. 
We are working on solutions to improve AI-assisted translation to close the gap between off-the-shelf translation tools and Reuters standards. This should shorten the amount of time translators spend on each story so we can either increase output or reinvest resources into reporting. It will also improve the quality of automated translations for our key client LSEG and could open the door to us starting up new languages and reaching new audiences as required in our Professional strategy of increasing our TAM.","Create new AI-assisted translation process (CheckMATE) with thorough testing and evaluation to reduce critical errors. Set up an ongoing evaluation process to keep improving output and new/recurring errors as models change. 
Current system is to use Google Translate or DeepL as the base ML translation model + Reuters glossary + GPT4o prompt to edit out errors.
Launch new system in our LEON CMS as well as in the AMT (automated machine translation) service to LSEG. 
Focus on Romance languages first and then move to Arabic (key for Professional), Korean, Japanese (key for LSEG) and so on through the languages we currently serve. Then look at where there is opportunity in other languages. 
Desired results: more than 50% time saving (cycle time), >95% acceptance rate (accuracy), reinvestment of time into new content or more reporting (productivity)","Requirements and design for integration of genAI prompt into LEON. Main testing done on French prompt. ","Spanish, French, Italian, Brazilian Portuguese CheckMATE released to super users. Created scoring sysmte for evaluations.
Tested enhanced DeepL but rolled back as the quality was insufficient. 
LEON UI completed","Spanish, French, Italian, Brazilian Portuguese CheckMATE launched to all users in LEON
Korean, Arabic prompts in production for super users
","Full roll out for Korean, Arabic, Japanese, Chinese
Turn on AI-powered Korean AMT to LSEG
Create standardised, automated evaluation process","1/28/2025 1:02 PM","9/5/2025 6:57 AM","Barrett, Jane E. (Reuters)"
"Drafting Contracts (General Use Case)","General Counsel","8/25/2025","Green – as per plan or better","Experimentation","Co-Counsel","Build",,"CoCounsel Drafting: Drafting first drafts of contracts and other ancillary documents.","Draft whole contracts, amend existing ones with clauses drawn from GCO own know how (though integration) or PL content  
CoCounsel Drafting: This use case focuses on automating the drafting process to save time and ensure accuracy.
","The GCO has transitioned to greater adoption and active usage of AI tools in 2025. This includes leveraging CoCounsel Drafting for tasks such as drafting legal documents.","Continue to seek and expand opportunities to leverage CoCounsel Drafting and Review","Continue to seek and expand opportunities to leverage CoCounsel Drafting and Review","Continue to seek and expand opportunities to leverage CoCounsel Drafting and Review","1/28/2025 1:03 PM","8/25/2025 12:04 PM","Ruddick, Jen (TR General Counsel)"
"Use of Chatbot to answer first line questions (General Use Case)","General Counsel","9/26/2025","Amber – delay/risks/challenges","Experimentation","Co-Counsel,Teams Premium,HighQ with Co-Counsel","Build","6,000","Different Chatbots (Teams and HighQ) are being tested across the GCO's Practice Groups to provide self serve business information from the materials available to the business.  External Q&A in HighQ with Tori Cornwell is being tested by CoSec, Privacy, C&C.  Teams chatbot with Johannes Schleith is being tested by C&C and Privacy.  Steve Fullerton's isheet bot in HighQ is to be assessed for Employment's use case.","Initial exploration into non-TR Chatbots with a view to looking at TR tools if applicable. Experimenting with 3 TR tools - CoCounsel for HighQ (files), CoCounsel for HighQ (isheets) and Teams are being developed.","Looking to be considered as part of AskTR program – submitting mini business case ","POC with business users","Follow-up on Chatbot Testing: Review initial results of the chatbot proof of concepts, improve the underlying resources and follow-up on action items from initial testing. ","Another round of testing for CoCounsel in HighQ (files) and Teams Chatbot is scheduled for October.  CoCounsel for HighQ (isheets) is being assessed for Employment.","1/28/2025 1:04 PM","9/26/2025 10:37 AM","Coffin, Dorine (TR General Counsel)"
"Automation of contracts, accruals, calculations and payments (AP / Royalties Contract Analysis) ","Finance","8/7/2025","Green – as per plan or better","Implementation","PowerBI,Alteryx","Build",,"Create a model to compare royalty contract payments to revenue generated from the Westlaw content to assess net profitability of content.  ","Create a model to compare royalty contract payments to revenue generated from the Westlaw content to assess net profitability of content.  ","Updating 2024 data to be completed, then work on YTD 2025.

Starting March, begin plan for all other non Legal Online/Print products/accts to be included as part of Phase 2.","Build and implementation  ","Complete -  automation of contracts outside of legal and TAAP for Feb release
Updating dashboard with data YTD.
Create 2025 project plan for 2026 deliverables
","175k savings
Predictive release 9/25
Bundled products 9/25
Predictive/Bundled 12/25","1/28/2025 1:05 PM","8/7/2025 7:37 AM","Delaney, Ann (TR Finance)"
"Fact extraction and summarisation with FactGenie","Reuters - Editorial","10/3/2025","Green – as per plan or better","Launch","FactGenie","Build",,"Current workflows for extracting and publishing investor-relevant facts from source documents—such as press releases, filings, and regulatory updates—rely heavily on manual review by journalists. This limits our ability to scale coverage and slows time-to-market for critical financial insights. While our editorial teams maintain high standards for both relevance and accuracy, the volume and velocity of market-moving information increasingly demand faster, more scalable solutions. We are developing AI-assisted tools to extract concise, accurate fact snippets that meet Reuters standards while significantly reducing the time and effort required from journalists. This will allow us to increase output, improve latency for LSEG clients, and reallocate editorial resources toward higher-value reporting. It also opens the door to monetizing a broader set of structured content through feeds.","- Automate >50% of all financial alerts that are currently produced manually
- Increase recall rate to >98% (TBC) on structured-data automations with secondary LLM process",,"Full release across all Stock Exchange Disclosure feeds","Architecture work to enable web-source content alert recommendations and prepare for automation.","- Deliver LLM backstop to PLX corporate earnings data alerts
- Deliver FG-recommended alerts from 100% web sources for designated team (tbc)
- ","1/28/2025 1:08 PM","10/3/2025 1:39 PM","Leff, Jonathan A. (Reuters)"
"Summarization","Reuters - Editorial","10/3/2025","Green – as per plan or better","Launch","LEON,Open Arena","Build","1,000","Reuters journalists currently spend significant time drafting stories from press releases and manually reworking published content into alternate formats such as video scripts, newsletter blurbs, or social media posts. These tasks, while essential, are time-intensive and limit our ability to scale coverage or experiment with new formats. Our editorial standards under the Trust Principles require accuracy, clarity, and context—standards that off-the-shelf summarization tools cannot yet meet without human oversight.
We are developing AI-assisted summarization tools that can generate high-quality first drafts of stories—such as our new “Super Summaries” for earnings coverage—and reformat existing Reuters stories into alternate formats with minimal manual intervention. These tools are designed to accelerate the drafting process while preserving editorial rigor, enabling journalists to focus on value-added reporting and analysis. They also support our Professional strategy by making Reuters content more modular, discoverable, and adaptable to client needs across platforms like LSEG Workspace, newsletters, and video feeds.
This hybrid model—where automation handles the initial synthesis and journalists provide oversight—will allow us to increase output, reduce latency, and expand into new formats and languages. It also lays the groundwork for future monetization of structured content and supports our broader newsroom transformation toward AI-augmented workflows.
","- Deliver a new AI-first story format (Super Summary) that will allow scaling coverage to better meet LSEG customer needs.
- Launch a new AI-aided editorial workflow for writing the first draft of breaking news stories and updates.",,"Launch Lux (Super Summary) production","Scale super summary production to 2,500 companies
Achieve MVP release in UAT for three story types: Urgent, Short Take and Update / Blank Slate ","Scale super summary production to 3,600 companies
Begin producing AI-aided Urgents in the newsroom; achieve general release for AI-aided Updates and Stories","1/28/2025 1:09 PM","10/3/2025 1:56 PM","Leff, Jonathan A. (Reuters)"
